"osm_id";"ref_insee"
-532328;"60541"
-3118244;"2B280"
-1185225;"70027"
-2014859;"47036"
-3323098;"27520"
-113635;"73280"
-2220036;"15159"
-2176989;"43236"
-2771696;"11310"
-1664501;"452"
-2188547;"7510624"
-130932;"14012"
-944868;"70500"
-1320226;"80229"
-2018256;"09109"
-1377708;"77360"
-556888;"05080"
-2954012;"02189"
-140120;"01334"
-135449;"14194"
-1082277;"50458"
-2944659;"19112"
-191570;"38095"
-532298;"60321"
-161203;"70021"
-2588357;"51084"
-144424;"81158"
-146373;"47043"
-2202144;"57475"
-2179108;"11319"
-420216;"60050"
-1412431;"39111"
-447983;"02580"
-123837;"36045"
-118783;"23051"
-140328;"01170"
-281178;"97110"
-128075;"73253"
-2701130;"51161"
-2739547;"51033"
-110093;"45321"
-1480128;"31468"
-1665594;"025"
-3220711;"24080"
-295508;"49179"
-144903;"86265"
-1085437;"18112"
-453050;"25610"
-116272;"87108"
-532358;"60529"
-2520353;"245400791"
-3013005;"76623"
-55147;"59514"
-1828369;"54424"
-2917166;"62086"
-1017363;"64144"
-1380952;"61019"
-1179873;"67373"
-152766;"02335"
-2983977;"55380"
-126424;"14004"
-905614;"29162"
-1727459;"247900806"
-1733623;"16401"
-3000355;"10306"
-271117;"34254"
-149480;"01249"
-80537;"68304"
-170033;"85242"
-156732;"21095"
-913888;"67167"
-539930;"29290"
-124366;"46228"
-391006;"18248"
-280565;"14713"
-2984942;"55457"
-107549;"72208"
-1822365;"65344"
-140085;"01177"
-2600627;"11302"
-157306;"62233"
-1657554;"242900074"
-3007364;"76279"
-1150937;"57036"
-1863008;"16103"
-398249;"16252"
-162632;"65328"
-1361781;"60624"
-373398;"70152"
-387286;"22231"
-122542;"42241"
-2069657;"28204"
-66359;"82018"
-128052;"73262"
-422631;"37029"
-107636;"72380"
-2688701;"51204"
-1246338;"88237"
-2965713;"43244"
-148184;"21479"
-145267;"21561"
-2153453;"246900674"
-160952;"58307"
-152916;"17477"
-1450227;"31298"
-269989;"88365"
-147253;"79096"
-83285;"68155"
-412748;"77199"
-2367839;"246201123"
-107619;"72081"
-78641;"77065"
-1959492;"64416"
-3294991;"61228"
-184050;"84094"
-198422;"76584"
-127990;"73292"
-106379;"74043"
-93551;"33426"
-1804064;"89252"
-140031;"01174"
-120089;"03223"
-139197;"86116"
-113229;"68168"
-133235;"32360"
-1926324;"28224"
-359346;"63256"
-1777267;"60315"
-2981237;"47199"
-1981896;"249300088"
-1404770;"77409"
-70333;"13009"
-2949504;"02320"
-131299;"14142"
-124284;"56026"
-1352295;"80584"
-3009396;"76519"
-114341;"80424"
-1085441;"17449"
-1021584;"62520"
-1017408;"64165"
-107503;"72012"
-3020076;"247600638"
-86306;"88531"
-1669096;"76141"
-144513;"07174"
-2190929;"43008"
-3323199;"27141"
-1537505;"55078"
-1214154;"91148"
-2952233;"02504"
-1561156;"06042"
-139508;"21335"
-2696230;"54561"
-122896;"25564"
-1658155;"24294"
-172059;"14251"
-146582;"01340"
-544365;"39336"
-87257;"88268"
-142151;"01205"
-89777;"33188"
-181315;"84097"
-1711772;"28211"
-3067510;"43082"
-2070792;"09309"
-1292781;"77332"
-152229;"02204"
-1674107;"62712"
-140631;"86192"
-2089613;"245900808"
-54854;"59065"
-115801;"12045"
-120829;"19124"
-133762;"82011"
-2993151;"55282"
-131873;"81055"
-110450;"76631"
-123538;"46166"
-2979723;"24286"
-1647493;"248100695"
-111633;"242504348"
-1877989;"80754"
-126971;"63257"
-50275;"18213"
-142365;"69132"
-1284783;"60611"
-1187384;"62587"
-399666;"22233"
-164210;"69259"
-148486;"56254"
-123758;"25004"
-1067605;"50610"
-1156583;"57405"
-358758;"22300"
-3223995;"24190"
-97218;"33385"
-53439;"59153"
-3256952;"08153"
-391044;"68165"
-126551;"63457"
-2520324;"245400262"
-3074390;"64146"
-117217;"15140"
-3217440;"24160"
-140697;"12034"
-149693;"79142"
-963095;"78278"
-131372;"73142"
-938775;"88299"
-74996;"83098"
-116610;"03025"
-2913805;"66102"
-161910;"58282"
-107378;"72079"
-398693;"38444"
-54192;"59217"
-2961979;"54465"
-2959806;"54264"
-363698;"22076"
-407905;"77474"
-168239;"64066"
-1963115;"62586"
-1771717;"51175"
-1269513;"80149"
-1001380;"53117"
-1676654;"24376"
-174561;"06113"
-74611;"44194"
-317242;"97406"
-447583;"50100"
-1748945;"16008"
-1650034;"291"
-971012;"04106"
-1022037;"15170"
-54722;"59468"
-1924553;"249100553"
-136542;"82117"
-2595998;"80141"
-138958;"01305"
-2963698;"55014"
-359568;"22371"
-2070680;"28078"
-2545885;"61326"
-1203327;"83027"
-150133;"21591"
-332711;"49029"
-152621;"21072"
-1996088;"242200608"
-1153312;"67443"
-1156167;"62321"
-3292960;"61162"
-147987;"01450"
-56236;"59097"
-153851;"08232"
-398666;"33471"
-920413;"78006"
-1106183;"50031"
-287424;"48013"
-854798;"60133"
-129741;"32073"
-120708;"36228"
-157733;"45091"
-153009;"02377"
-337983;"79250"
-147460;"31413"
-1345514;"38492"
-400008;"16031"
-144217;"76082"
-1190093;"78398"
-133770;"31387"
-2128637;"242101467"
-139140;"01402"
-74500;"40242"
-3028635;"71208"
-144936;"86275"
-3264314;"08501"
-280325;"14630"
-88619;"33013"
-2992927;"55141"
-280610;"91103"
-161341;"70544"
-2758328;"51545"
-68008;"27023"
-3008436;"76257"
